player_id,player_name,player_fullname,RATING_3_0,T_RATING,CT_RATING,ROUND_SWING,DPR,KAST,MULTI_KILL,ADR,KPR,Total_kills,Headshot_pct,Total_deaths,KD_Ratio,Damage_per_Round,Grenade_dmg_per_Round,Maps_played,Rounds_played,Kills_per_round,Assists_per_round,Deaths_per_round,Saved_by_teammate_per_round,Saved_teammates_per_round,Impact_rating,total_kills_weapon,rifle_kills,rifle_pct,sniper_kills,sniper_pct,pistol_kills,pistol_pct,smg_kills,smg_pct,top_weapon,top_weapon_pct,ak47_kills,m4a1_kills,m4a1s_kills,awp_kills,ssg08_kills,deagle_kills,glock_kills,usp_kills
7322,apEX,Dan Madesclaire,0.99,0.90,1.07,-0.43%,0.67,72.1%,14.4%,74.3,0.61,744,51.5%,824,0.90,74.3,11.5,56,1228,0.61,0.28,0.67,0.11,0.08,1.06,744,578,77.7,2,0.3,108,14.5,23,3.1,ak47,38.0,283,197,50,1,1,8,30,40
19739,Ex3rcice,Pierre Bulinge,1.01,1.03,1.00,-0.05%,0.66,71.4%,15.9%,70.5,0.65,990,56.2%,1013,0.98,70.5,4.0,72,1529,0.65,0.19,0.66,0.12,0.11,0.98,990,765,77.3,9,0.9,177,17.9,16,1.6,ak47,34.9,346,48,281,9,0,18,69,62
12553,yuurih,Yuri Santos,0.99,0.97,1.02,-0.30%,0.61,74.8%,12.9%,67.0,0.60,724,48.6%,735,0.99,67.0,3.5,56,1208,0.60,0.20,0.61,0.10,0.11,0.83,724,555,76.7,2,0.3,129,17.8,31,4.3,ak47,38.8,281,105,117,2,0,2,38,32
18072,torzsi,Ádám Torzsás,0.98,0.95,1.00,+0.04%,0.57,71.4%,15.7%,63.8,0.64,669,31.2%,597,1.12,63.8,2.7,50,1049,0.64,0.12,0.57,0.07,0.11,0.94,669,192,28.7,343,51.3,113,16.9,12,1.8,awp,49.5,105,9,51,331,12,8,19,51
14736,dgt,Franco Garcia,1.19,1.16,1.22,+1.59%,0.59,75.0%,19.7%,81.0,0.76,1379,52.8%,1073,1.29,81.0,4.7,88,1821,0.76,0.20,0.59,0.09,0.11,1.21,1379,1117,81.0,11,0.8,206,14.9,24,1.7,ak47,43.0,593,235,206,11,0,7,83,82
22674,cmtry,Nikita Samolotov,1.01,1.01,1.01,+0.38%,0.61,71.4%,15.1%,68.4,0.63,745,34.4%,725,1.03,68.4,3.9,56,1184,0.63,0.17,0.61,0.10,0.11,0.98,745,232,31.1,369,49.5,125,16.8,10,1.3,awp,47.5,123,14,43,354,15,13,22,59
14737,meyern,Ignacio Meyer,1.01,0.94,1.08,+0.63%,0.57,73.9%,13.5%,61.5,0.62,1120,40.5%,1033,1.08,61.5,1.9,88,1821,0.62,0.10,0.57,0.09,0.10,0.82,1120,379,33.8,525,46.9,194,17.3,13,1.2,awp,46.0,182,83,60,515,10,2,47,74
22047,yxngstxr,Simon Boije,1.04,0.95,1.14,+0.52%,0.60,73.4%,16.5%,68.0,0.68,947,41.7%,842,1.12,68.0,2.1,66,1401,0.68,0.12,0.60,0.10,0.11,0.94,947,424,44.8,335,35.4,167,17.6,15,1.6,awp,35.3,270,28,87,334,1,17,34,43
10394,Twistzz,Russel Van Dulken,1.08,1.05,1.11,+0.40%,0.68,71.5%,17.9%,75.8,0.68,759,62.6%,756,1.00,75.8,4.2,52,1120,0.68,0.20,0.68,0.14,0.12,1.12,759,583,76.8,4,0.5,116,15.3,41,5.4,ak47,34.8,264,40,198,3,1,19,35,40
23402,cobrazera,Anarbileg Uuganbayar,0.98,0.99,0.98,-0.84%,0.70,69.4%,15.9%,71.8,0.66,814,55.8%,868,0.94,71.8,4.6,55,1242,0.66,0.19,0.70,0.09,0.10,1.04,870,625,71.8,54,6.2,148,17.0,33,3.8,ak47,45.1,392,78,126,51,3,33,32,57
22471,xiELO,Vladislav Lysov,0.99,1.01,0.97,-0.34%,0.69,70.5%,15.4%,69.4,0.63,794,60.5%,873,0.91,69.4,4.4,55,1268,0.63,0.19,0.69,0.13,0.11,0.99,807,578,71.6,8,1.0,149,18.5,63,7.8,ak47,40.8,329,88,118,7,1,19,47,42
21163,susp,Tim Ångström,1.03,1.02,1.05,+0.17%,0.65,74.1%,13.9%,70.4,0.62,865,54.5%,904,0.96,70.4,2.9,66,1401,0.62,0.19,0.65,0.12,0.10,0.93,865,667,77.1,0,0.0,142,16.4,42,4.9,ak47,41.7,361,147,86,0,0,25,42,33
13138,Maka,Bryan Canda,1.01,1.00,1.01,+0.29%,0.60,73.4%,15.0%,69.2,0.64,982,40.2%,917,1.07,69.2,5.9,72,1529,0.64,0.17,0.60,0.11,0.10,0.97,982,342,34.8,379,38.6,194,19.8,39,4.0,awp,38.1,187,21,69,374,5,15,22,51
12521,arT,Andrei Piovezan,0.99,0.93,1.05,-0.55%,0.68,72.5%,14.9%,72.3,0.63,1012,51.8%,1092,0.93,72.3,5.1,77,1612,0.63,0.23,0.68,0.11,0.08,1.05,1052,749,71.2,23,2.2,144,13.7,115,10.9,ak47,33.6,353,106,246,23,0,3,37,46
20275,Techno,Sodbayar Munkhbold,0.96,0.93,1.00,-0.47%,0.68,69.2%,13.9%,66.8,0.60,748,60.4%,843,0.89,66.8,4.9,55,1242,0.60,0.17,0.68,0.10,0.08,0.89,784,539,68.8,4,0.5,138,17.6,81,10.3,ak47,33.0,259,137,91,4,0,1,41,17
23643,esenthial,Dmytro Tsvir,1.04,1.06,1.03,+0.40%,0.63,71.7%,14.9%,70.0,0.65,920,61.8%,892,1.03,70.0,3.4,68,1419,0.65,0.16,0.63,0.09,0.14,0.92,959,724,75.5,10,1.0,147,15.3,57,5.9,ak47,43.3,415,228,31,10,0,19,38,47
21217,ryu,Gytis Glušauskas,0.98,0.99,0.97,-0.95%,0.66,71.2%,14.9%,69.3,0.62,772,49.1%,821,0.94,69.3,4.1,60,1244,0.62,0.19,0.66,0.12,0.12,0.90,772,597,77.3,2,0.3,129,16.7,37,4.8,ak47,44.2,341,62,149,2,0,18,42,19
20194,bLitz,Garidmagnai Byambasuren,0.96,0.98,0.95,-0.93%,0.68,69.5%,15.3%,73.7,0.62,773,51.0%,846,0.91,73.7,9.4,55,1242,0.62,0.22,0.68,0.09,0.08,1.05,808,598,74.0,16,2.0,117,14.5,47,5.8,ak47,37.3,301,56,208,13,3,20,37,38
3972,huNter-,Nemanja Kovač,1.01,0.95,1.07,-0.29%,0.64,73.5%,15.9%,70.7,0.65,983,51.2%,967,1.02,70.7,5.8,70,1519,0.65,0.20,0.64,0.13,0.10,0.94,983,703,71.5,15,1.5,155,15.8,94,9.6,ak47,34.2,336,97,233,11,4,9,41,18
